Areaname,STCOU,SEX100200F,SEX100200D,SEX100200N1,SEX100200N2,SEX100210F,SEX100210D,SEX100210N1,SEX100210N2,SEX120200F,SEX120200D,SEX120200N1,SEX120200N2,SEX150200F,SEX150200D,SEX150200N1,SEX150200N2,SEX150201F,SEX150201D,SEX150201N1,SEX150201N2,SEX150202F,SEX150202D,SEX150202N1,SEX150202N2,SEX150203F,SEX150203D,SEX150203N1,SEX150203N2,SEX150204F,SEX150204D,SEX150204N1,SEX150204N2,SEX150205F,SEX150205D,SEX150205N1,SEX150205N2,SEX150206F,SEX150206D,SEX150206N1,SEX150206N2
"Stanton, NE",31167,0,3201,0000,0000,0,3031,0000,0000,0,3201,0000,0000,0,3186,0000,0000,0,3172,0000,0000,0,3222,0000,0000,0,3223,0000,0000,0,3224,0000,0000,0,3197,0000,0000,0,3204,0000,0000
"Thayer, NE",31169,0,2963,0000,0000,0,2551,0000,0000,0,2961,0000,0000,0,2954,0000,0000,0,2876,0000,0000,0,2788,0000,0000,0,2726,0000,0000,0,2645,0000,0000,0,2619,0000,0000,0,2538,0000,0000
"Thomas, NE",31171,0,364,0000,0000,0,328,0000,0000,0,364,0000,0000,0,364,0000,0000,0,349,0000,0000,0,330,0000,0000,0,321,0000,0000,0,306,0000,0000,0,301,0000,0000,0,296,0000,0000
"Thurston, NE",31173,0,3575,0000,0000,0,3446,0000,0000,0,3575,0000,0000,0,3571,0000,0000,0,3569,0000,0000,0,3539,0000,0000,0,3546,0000,0000,0,3535,0000,0000,0,3591,0000,0000,0,3579,0000,0000
"Valley, NE",31175,0,2223,0000,0000,0,2109,0000,0000,0,2223,0000,0000,0,2224,0000,0000,0,2213,0000,0000,0,2161,0000,0000,0,2179,0000,0000,0,2125,0000,0000,0,2076,0000,0000,0,2056,0000,0000
"Washington, NE",31177,0,9329,0000,0000,0,10077,0000,0000,0,9329,0000,0000,0,9337,0000,0000,0,9503,0000,0000,0,9584,0000,0000,0,9693,0000,0000,0,9722,0000,0000,0,9845,0000,0000,0,9923,0000,0000
"Wayne, NE",31179,0,4728,0000,0000,0,4816,0000,0000,0,4728,0000,0000,0,4722,0000,0000,0,4678,0000,0000,0,4614,0000,0000,0,4611,0000,0000,0,4550,0000,0000,0,4561,0000,0000,0,4586,0000,0000
"Webster, NE",31181,0,1954,0000,0000,0,1821,0000,0000,0,1954,0000,0000,0,1950,0000,0000,0,1915,0000,0000,0,1863,0000,0000,0,1822,0000,0000,0,1796,0000,0000,0,1754,0000,0000,0,1709,0000,0000
"Wheeler, NE",31183,0,434,0000,0000,0,412,0000,0000,0,434,0000,0000,0,432,0000,0000,0,420,0000,0000,0,405,0000,0000,0,393,0000,0000,0,392,0000,0000,0,398,0000,0000,0,395,0000,0000
"York, NE",31185,0,6974,0000,0000,0,6670,0000,0000,0,6974,0000,0000,0,6963,0000,0000,0,6905,0000,0000,0,6815,0000,0000,0,6796,0000,0000,0,6701,0000,0000,0,6735,0000,0000,0,6788,0000,0000
NEVADA,32000,0,1018051,0000,0000,0,1363616,0000,0000,0,1018053,0000,0000,0,1028321,0000,0000,0,1066220,0000,0000,0,1101475,0000,0000,0,1136779,0000,0000,0,1183664,0000,0000,0,1225796,0000,0000,0,1269488,0000,0000
"Churchill, NV",32001,0,12027,0000,0000,0,12508,0000,0000,0,12027,0000,0000,0,12038,0000,0000,0,12197,0000,0000,0,12011,0000,0000,0,11936,0000,0000,0,11940,0000,0000,0,12128,0000,0000,0,12183,0000,0000
"Clark, NV",32003,0,699728,0000,0000,0,982193,0000,0000,0,699716,0000,0000,0,708751,0000,0000,0,740194,0000,0000,0,769329,0000,0000,0,798045,0000,0000,0,835851,0000,0000,0,868417,0000,0000,0,904246,0000,0000
"Douglas, NV",32005,0,20840,0000,0000,0,23481,0000,0000,0,20842,0000,0000,0,20933,0000,0000,0,21277,0000,0000,0,21709,0000,0000,0,22146,0000,0000,0,23016,0000,0000,0,23114,0000,0000,0,23093,0000,0000
"Elko, NV",32007,0,23596,0000,0000,0,25354,0000,0000,0,23596,0000,0000,0,23574,0000,0000,0,23404,0000,0000,0,22872,0000,0000,0,22533,0000,0000,0,22534,0000,0000,0,22975,0000,0000,0,23614,0000,0000
"Esmeralda, NV",32009,0,537,0000,0000,0,434,0000,0000,0,537,0000,0000,0,537,0000,0000,0,516,0000,0000,0,484,0000,0000,0,449,0000,0000,0,429,0000,0000,0,420,0000,0000,0,404,0000,0000
"Eureka, NV",32011,0,852,0000,0000,0,1048,0000,0000,0,852,0000,0000,0,838,0000,0000,0,835,0000,0000,0,823,0000,0000,0,752,0000,0000,0,728,0000,0000,0,726,0000,0000,0,772,0000,0000
"Humboldt, NV",32013,0,8446,0000,0000,0,8654,0000,0000,0,8446,0000,0000,0,8341,0000,0000,0,8389,0000,0000,0,8494,0000,0000,0,8733,0000,0000,0,8912,0000,0000,0,8985,0000,0000,0,9190,0000,0000
"Lander, NV",32015,0,2975,0000,0000,0,2928,0000,0000,0,2975,0000,0000,0,2923,0000,0000,0,2768,0000,0000,0,2600,0000,0000,0,2484,0000,0000,0,2498,0000,0000,0,2491,0000,0000,0,2558,0000,0000
"Lincoln, NV",32017,0,2162,0000,0000,0,2877,0000,0000,0,2162,0000,0000,0,2165,0000,0000,0,2159,0000,0000,0,2184,0000,0000,0,2199,0000,0000,0,2188,0000,0000,0,2257,0000,0000,0,2292,0000,0000
"Lyon, NV",32019,0,17467,0000,0000,0,26178,0000,0000,0,17467,0000,0000,0,17647,0000,0000,0,18276,0000,0000,0,19116,0000,0000,0,20197,0000,0000,0,21732,0000,0000,0,23688,0000,0000,0,25584,0000,0000
